dim,norm_bf,norm_prg,ratio,rel_error,outcome,ill_cond,time_bf_ms,time_prg_ms,cond_before,cond_after,gh,norm_gh_bf,norm_gh_prg
2,2.646,2.646,1.0,0.0,tie,0,0.313834,64.972417,5.600784,1.262475,1.959277899093192,1.350497548726826,1.350497548726826
2,1.414,1.414,1.0,0.0,tie,0,0.31565,61.962896,20.835847,2.140036,1.861183641926684,0.759731585936484,0.759731585936484
2,4.0,4.0,1.0,0.0,tie,0,0.310026,61.999667,28.699357,2.587469,1.683703528516376,2.375715161400574,2.375715161400574
2,2.449,2.449,1.0,0.0,tie,0,0.323472,61.954017,421.568521,2.841586,2.393061485731227,1.023375293364717,1.023375293364717
2,3.162,3.162,1.0,0.0,tie,0,0.299284,64.096261,12.316577,5.14964,1.961752059484545,1.611824483482802,1.611824483482802
2,2.0,2.0,1.0,0.0,tie,0,0.313926,62.591774,10.756701,1.766131,1.329696440488725,1.504102695247426,1.504102695247426
2,2.449,2.449,1.0,0.0,tie,0,0.307307,63.531367,0.227557,2.373991,1.127233264260727,2.172576056479426,2.172576056479426
2,2.449,2.449,1.0,0.0,tie,0,0.319587,59.44886,53.327365,4.651457,2.440049339566825,1.003668229280464,1.003668229280464
2,3.606,3.606,1.0,0.0,tie,0,0.326068,62.071002,0.03369,4.059279,2.464883757217405,1.462949313305872,1.462949313305872
2,3.0,3.0,1.0,0.0,tie,0,0.311041,63.408921,17.485283,4.424958,2.407997466999189,1.245848486601008,1.245848486601008
2,1.414,1.414,1.0,0.0,tie,0,0.324261,62.075369,39.201919,2.515895,1.79770628642697,0.786557854681809,0.786557854681809
2,3.0,3.0,1.0,0.0,tie,0,0.311941,63.037434,30.106454,2.01297,0.878982115180487,3.41303872762416,3.41303872762416
2,2.449,2.449,1.0,0.0,tie,0,0.304861,63.485359,25.693496,3.033287,1.6371171880891,1.495922233190012,1.495922233190012
2,3.606,3.606,1.0,0.0,tie,0,0.33614,63.068033,6.681511,1.427509,1.448210082096318,2.489970236072538,2.489970236072538
2,2.449,2.449,1.0,0.0,tie,0,0.313474,61.74272,14.793232,1.689578,1.637331426447449,1.495726497666782,1.495726497666782
2,4.0,4.0,1.0,0.0,tie,0,0.313722,62.591574,126.229342,2.927038,1.96362943802173,2.037044221556295,2.037044221556295
2,3.606,3.606,1.0,0.0,tie,0,0.304302,63.843527,1.048859,3.858085,2.509438177722857,1.436975029714498,1.436975029714498
2,3.606,3.606,1.0,0.0,tie,0,0.319409,64.550258,4.968068,4.762032,1.596749840747367,2.258337472770432,2.258337472770432
2,2.0,2.0,1.0,0.0,tie,0,0.294712,59.831042,23.256278,4.908679,2.036631083782829,0.982013883577388,0.982013883577388
2,2.449,2.449,1.0,0.0,tie,0,0.344488,62.59002,220.526593,2.327293,2.427230587661396,1.0089688274568,1.0089688274568
2,4.0,4.0,1.0,0.0,tie,0,0.316503,63.736835,11.173833,4.380211,1.594762054476129,2.508211170922284,2.508211170922284
2,2.646,2.646,1.0,0.0,tie,0,0.303651,62.183903,11.827059,3.52638,1.551378917336285,1.705579449631285,1.705579449631285
2,2.449,2.449,1.0,0.0,tie,0,0.302397,62.87981,6.325751,3.508379,1.709473482231946,1.432604849068792,1.432604849068792
2,3.606,3.606,1.0,0.0,tie,0,0.315801,63.071776,3.186235,3.537643,1.559463110856349,2.312334273825711,2.312334273825711
2,2.0,2.0,1.0,0.0,tie,0,0.302235,64.185693,98.886706,4.459852,1.618055968233008,1.236051186896886,1.236051186896886
2,2.0,2.0,1.0,0.0,tie,0,0.294312,62.966593,11.863513,1.81325,2.231495728225182,0.896259838055213,0.896259838055213
2,3.606,3.606,1.0,0.0,tie,0,0.299604,63.883361,26.283103,4.14673,1.853886536648021,1.945102857545934,1.945102857545934
2,2.449,2.449,1.0,0.0,tie,0,0.290149,63.724036,137.830932,2.131308,2.346804378666607,1.043546714955193,1.043546714955193
2,3.606,3.606,1.0,0.0,tie,0,0.310332,62.316849,349.237658,4.285593,1.198750758573892,3.008131568809117,3.008131568809117
2,3.606,3.606,1.0,0.0,tie,0,0.337062,64.31988,447.264527,3.394352,2.129745166566633,1.693160316364629,1.693160316364629
2,1.414,1.414,1.0,0.0,tie,0,0.290847,62.06079,45.251883,2.944,1.430079567293468,0.988756172970222,0.988756172970222
2,3.0,3.0,1.0,0.0,tie,0,0.311522,61.716814,111.205149,2.806202,1.739522488944246,1.724611218921788,1.724611218921788
2,4.0,4.0,1.0,0.0,tie,0,0.300672,62.005024,6.302087,2.231999,1.65762141830802,2.413096232843632,2.413096232843632
2,3.162,3.162,1.0,0.0,tie,0,0.314372,61.322375,50.597099,5.06132,1.458922601125312,2.167352810602187,2.167352810602187
2,3.162,3.162,1.0,0.0,tie,0,0.325037,62.826207,46.560422,5.335108,1.79912441399207,1.757521589618058,1.757521589618058
2,2.828,2.828,1.0,0.0,tie,0,0.325822,60.429064,3.793964,1.856542,2.135949973005049,1.324001046719888,1.324001046719888
2,3.162,3.162,1.0,0.0,tie,0,0.328018,61.874522,34.690739,3.827329,1.583869052062141,1.996377160020388,1.996377160020388
2,3.606,3.606,1.0,0.0,tie,0,0.319249,60.989369,6.238146,1.483161,2.250702397643059,1.602166507565021,1.602166507565021
2,3.606,3.606,1.0,0.0,tie,0,0.291772,62.954076,85.703129,2.796523,2.335486313326546,1.54400391020224,1.54400391020224
2,2.449,2.449,1.0,0.0,tie,0,0.318028,64.924419,3.59985,4.150237,2.206450990844182,1.109927213503627,1.109927213503627
2,1.414,1.414,1.0,0.0,tie,0,0.301668,62.672071,11.139154,5.181358,2.3198646580986,0.609518316106828,0.609518316106828
2,2.0,2.0,1.0,0.0,tie,0,0.297079,66.540603,5.814848,5.208532,0.752699786393347,2.657101856748552,2.657101856748552
2,3.0,3.0,1.0,0.0,tie,0,0.324942,64.20608,142.668933,2.819333,2.6883547332196,1.115924160948496,1.115924160948496
2,2.449,2.449,1.0,0.0,tie,0,0.306756,62.87842,0.529235,3.472515,2.064233804574986,1.186396615815637,1.186396615815637
2,1.414,1.414,1.0,0.0,tie,0,0.31202,60.531782,44.710142,2.503442,1.698513242590954,0.832492773411086,0.832492773411086
2,2.646,2.646,1.0,0.0,tie,0,0.327061,61.69666,2.067383,5.448987,2.252848166629875,1.174513240258999,1.174513240258999
2,2.236,2.236,1.0,0.0,tie,0,0.298231,61.104423,52.849028,3.999221,1.892044302827207,1.181790509164523,1.181790509164523
2,3.0,3.0,1.0,0.0,tie,0,0.330413,63.458858,19.892858,4.244482,1.647555153699792,1.820879861449933,1.820879861449933
2,4.0,4.0,1.0,0.0,tie,0,0.329494,63.745034,6.259794,3.47199,1.383289063357419,2.891658805059508,2.891658805059508
2,2.0,2.0,1.0,0.0,tie,0,0.335224,65.053382,4.423673,2.951713,2.743377994988881,0.729028228575591,0.729028228575591
2,2.0,2.0,1.0,0.0,tie,0,0.301468,63.491004,9.634015,2.974544,1.297718107452564,1.54116675148043,1.54116675148043
2,3.0,3.0,1.0,0.0,tie,0,0.314752,61.211078,0.712021,2.293906,1.703402757362457,1.761180664427942,1.761180664427942
2,1.414,1.414,1.0,0.0,tie,0,0.321677,64.007087,2.378528,3.801725,1.869588177010267,0.756316293281863,0.756316293281863
2,3.606,3.606,1.0,0.0,tie,0,0.329967,62.575013,43.281762,3.313971,1.250491373897821,2.883666433267735,2.883666433267735
2,3.162,3.162,1.0,0.0,tie,0,0.324487,65.165375,4.33947,1.970164,1.707523767968284,1.851804384405344,1.851804384405344
2,2.828,2.828,1.0,0.0,tie,0,0.301235,64.613362,10.28396,3.438418,1.778809874978803,1.589827018491057,1.589827018491057
2,2.646,2.646,1.0,0.0,tie,0,0.309205,65.517485,22.287611,3.853912,1.586766191605188,1.667542460885986,1.667542460885986
2,2.236,2.236,1.0,0.0,tie,0,0.282612,60.282562,1.66568,2.034307,2.466228124775536,0.906647676886545,0.906647676886545
2,3.162,3.162,1.0,0.0,tie,0,0.293391,61.897468,85.78858,2.297658,2.647309859932738,1.194420059342936,1.194420059342936
2,2.449,2.449,1.0,0.0,tie,0,0.32375,63.189203,39.624089,2.929135,1.500412585793813,1.63221771343935,1.63221771343935
2,2.449,2.449,1.0,0.0,tie,0,0.317695,67.790206,4.184897,2.261471,1.414158511516793,1.731771919523548,1.731771919523548
2,1.414,1.414,1.0,0.0,tie,0,0.314378,66.930927,19.931656,3.153898,2.585628206658094,0.546869034132168,0.546869034132168
2,3.162,3.162,1.0,0.0,tie,0,0.305379,63.119399,1.18396,5.966368,1.357266827309904,2.329681928694204,2.329681928694204
2,2.236,2.236,1.0,0.0,tie,0,0.311595,64.543168,15.332441,1.885677,2.281279252662717,0.980151814991581,0.980151814991581
2,2.449,2.449,1.0,0.0,tie,0,0.315035,63.354874,0.916469,3.858387,1.303535631500333,1.878736523052514,1.878736523052514
2,2.828,2.828,1.0,0.0,tie,0,0.313332,61.661214,3.299387,5.492977,1.443907027070093,1.958574857647477,1.958574857647477
2,2.646,2.646,1.0,0.0,tie,0,0.318631,62.94076,5.847441,4.142675,2.243801824521106,1.179248528583728,1.179248528583728
2,4.0,4.0,1.0,0.0,tie,0,0.304556,62.728932,5.447348,3.451421,2.123409833015772,1.883762586857291,1.883762586857291
2,4.0,4.0,1.0,0.0,tie,0,0.309461,62.658649,16.884815,4.778495,0.573217257697185,6.97815696629478,6.97815696629478
2,2.236,2.236,1.0,0.0,tie,0,0.321032,62.255238,0.450369,5.420187,1.618805010748094,1.381265801102681,1.381265801102681
2,2.449,2.449,1.0,0.0,tie,0,0.337459,61.479007,14.314288,5.821054,1.575382031071577,1.554543565749691,1.554543565749691
2,2.449,2.449,1.0,0.0,tie,0,0.318112,60.361341,0.91469,3.770891,2.371746895958034,1.032572237861309,1.032572237861309
2,3.606,3.606,1.0,0.0,tie,0,0.315074,61.834755,54.374982,4.240333,2.443196395935073,1.475935379570619,1.475935379570619
2,2.449,2.449,1.0,0.0,tie,0,0.315592,61.929488,1.253819,2.948181,1.623922416483773,1.508076971622044,1.508076971622044
2,1.414,1.414,1.0,0.0,tie,0,0.301693,59.550639,4.621581,3.869672,2.111092828968779,0.669795274085937,0.669795274085937
2,3.162,3.162,1.0,0.0,tie,0,0.315152,66.469753,1.271947,5.115009,1.812333958995904,1.744711555121914,1.744711555121914
2,2.828,2.828,1.0,0.0,tie,0,0.325285,60.228955,4.907857,3.686367,2.053283485278517,1.377306163652506,1.377306163652506
2,2.0,2.0,1.0,0.0,tie,0,0.312297,64.792828,3.568697,2.966897,2.158980229277051,0.926363276920657,0.926363276920657
2,3.606,3.606,1.0,0.0,tie,0,0.306301,61.718455,161.452336,2.41101,2.084509390545619,1.729903456590393,1.729903456590393
2,4.0,4.0,1.0,0.0,tie,0,0.327384,60.072478,0.165264,4.631545,1.884665212629804,2.122392864894302,2.122392864894302
2,1.414,1.414,1.0,0.0,tie,0,0.32191,61.921218,2.912936,4.022265,1.84913599593701,0.764681452909301,0.764681452909301
2,2.449,2.449,1.0,0.0,tie,0,0.342485,62.308474,4.40459,2.224925,1.871959820752951,1.308254575151591,1.308254575151591
2,3.162,3.162,1.0,0.0,tie,0,0.304815,60.142735,32.84974,2.145847,1.63010877440285,1.939747855880551,1.939747855880551
2,4.0,4.0,1.0,0.0,tie,0,0.320849,61.718578,2.388084,3.230829,1.47736586691714,2.707521602855839,2.707521602855839
2,2.646,2.646,1.0,0.0,tie,0,0.33173,65.140251,28.406098,5.667741,1.495882131250278,1.768855944410833,1.768855944410833
2,2.449,2.449,1.0,0.0,tie,0,0.30548,64.708922,1.131816,3.578654,1.832836874270408,1.336180013824125,1.336180013824125
2,4.0,4.0,1.0,0.0,tie,0,0.31186,62.117574,5.679075,3.02403,2.622553744756006,1.525230896792221,1.525230896792221
2,1.414,1.414,1.0,0.0,tie,0,0.291746,63.918697,1.291678,1.611961,2.204945397313538,0.641285721507113,0.641285721507113
2,3.162,3.162,1.0,0.0,tie,0,0.311157,61.444758,100.998043,7.332672,1.993510184535552,1.586146900341361,1.586146900341361
2,3.0,3.0,1.0,0.0,tie,0,0.309252,59.591029,3.297004,3.64975,1.769367214332962,1.695521413360752,1.695521413360752
2,4.0,4.0,1.0,0.0,tie,0,0.316215,61.196019,2.591195,5.963331,1.580758627895117,2.530430597950466,2.530430597950466
2,3.0,3.0,1.0,0.0,tie,0,0.304645,61.335901,14.703844,2.120938,0.808396430629644,3.711050527107547,3.711050527107547
2,2.236,2.236,1.0,0.0,tie,0,0.298872,64.675915,7.209723,4.50425,1.540154440879498,1.451802456072614,1.451802456072614
2,2.236,2.236,1.0,0.0,tie,0,0.333867,62.351354,2.65597,3.906869,1.209813497868311,1.848218757634816,1.848218757634816
2,2.0,2.0,1.0,0.0,tie,0,0.321447,61.093949,24.969651,5.339205,2.710972497053009,0.737742637438823,0.737742637438823
2,3.606,3.606,1.0,0.0,tie,0,0.322686,62.825059,233.166842,5.093252,3.259369284370822,1.10634901583301,1.10634901583301
2,3.162,3.162,1.0,0.0,tie,0,0.32644,63.633713,110.807685,4.527387,1.918910659452548,1.647809909452531,1.647809909452531
2,3.162,3.162,1.0,0.0,tie,0,0.303331,62.307756,25.20563,2.620534,2.617198240958081,1.208162205871911,1.208162205871911
2,3.0,3.0,1.0,0.0,tie,0,0.322603,61.989707,14.574906,4.517086,1.938480189754966,1.547604157037692,1.547604157037692
2,2.646,2.646,1.0,0.0,tie,0,0.30905,63.655639,1.171718,3.664049,2.587112063899795,1.022762035290979,1.022762035290979
2,3.162,3.162,1.0,0.0,tie,0,0.31278,64.423061,0.267476,4.331137,1.39954939349071,2.259298610471649,2.259298610471649
2,3.162,3.162,1.0,0.0,tie,0,0.309947,64.202562,1.815221,5.12639,2.606912792670505,1.212928951398051,1.212928951398051
2,1.414,1.414,1.0,0.0,tie,0,0.305584,62.737036,8.328601,5.938492,1.76990835878355,0.798911419895116,0.798911419895116
2,2.646,2.646,1.0,0.0,tie,0,0.279353,62.500569,11.240347,5.121504,1.235190046401973,2.142180474743643,2.142180474743643
2,3.606,3.606,1.0,0.0,tie,0,0.300099,64.84387,7.197006,4.027543,2.281467543375308,1.58056160407398,1.58056160407398
2,2.828,2.828,1.0,0.0,tie,0,0.299002,61.32353,2.254233,3.109554,2.771070738130411,1.020544138800296,1.020544138800296
2,2.646,2.646,1.0,0.0,tie,0,0.308529,62.494545,40.691008,2.615411,0.795466659919426,3.326349340986859,3.326349340986859
2,2.449,2.449,1.0,0.0,tie,0,0.292164,63.957463,17.227797,3.561317,1.772345892810269,1.381784452986665,1.381784452986665
2,2.236,2.236,1.0,0.0,tie,0,0.313379,66.215431,48.324247,4.834145,1.679442912740476,1.331393870573039,1.331393870573039
2,1.414,1.414,1.0,0.0,tie,0,0.330787,63.185745,78.984572,2.811142,2.219830123365506,0.636985679722294,0.636985679722294
2,3.162,3.162,1.0,0.0,tie,0,0.32261,63.374333,61.715516,4.122801,2.389663430578572,1.32319889049582,1.32319889049582
2,1.414,1.414,1.0,0.0,tie,0,0.295008,62.215717,5.998838,3.175365,1.067277880662985,1.324865834492544,1.324865834492544
2,3.0,3.0,1.0,0.0,tie,0,0.303819,63.692374,52.224744,4.122072,2.5883416489677,1.159043282093954,1.159043282093954
2,2.828,2.828,1.0,0.0,tie,0,0.312857,61.656379,0.413576,3.949626,1.543385797121672,1.832335120145631,1.832335120145631
2,3.162,3.162,1.0,0.0,tie,0,0.31115,62.078344,1.473232,3.679264,1.781719524615568,1.774690099263658,1.774690099263658
2,2.449,2.449,1.0,0.0,tie,0,0.29456,64.739986,60.658514,2.471587,0.82699207639539,2.961334297995278,2.961334297995278
2,1.414,1.414,1.0,0.0,tie,0,0.32551,61.718693,2.693984,5.889998,1.650376496212357,0.85677419864204,0.85677419864204
2,2.0,2.0,1.0,0.0,tie,0,0.317078,62.979214,9.007186,3.652343,1.279831301192736,1.56270595830568,1.56270595830568
2,2.0,2.0,1.0,0.0,tie,0,0.330881,63.508033,0.612671,2.377322,2.184687104007234,0.91546290374101,0.91546290374101
2,2.236,2.236,1.0,0.0,tie,0,0.315094,63.869058,0.601676,5.872416,1.695024622686768,1.319154878385033,1.319154878385033
2,2.646,2.646,1.0,0.0,tie,0,0.312775,62.588627,15.986405,4.399096,0.94899321184464,2.788218047267948,2.788218047267948
2,2.828,2.828,1.0,0.0,tie,0,0.307649,62.172038,6.249846,1.936734,2.124524511054172,1.331121380471515,1.331121380471515
